class,freq_hz,H_db_mean,H_db_std
Cargo,0.0,-1.2947030352753583,2.1139995332829917
Cargo,31.25,-1.5183511494517397,2.5726816534481673
Cargo,62.5,7.609565989592504e-05,0.8179450404935031
Cargo,93.75,-0.3548472797085034,0.6415072602524654
Cargo,125.0,0.1270477172086435,0.9746043312320674
Cargo,156.25,1.561539602456956,0.6825245014876049
Cargo,187.5,0.5687153454552996,1.0038848335163852
Cargo,218.75,0.07774573272921344,1.686081318642762
Cargo,250.0,-0.16962731858161298,2.5813071120123143
Cargo,281.25,-1.3832059760517517,2.5818235971670225
Cargo,312.5,-1.7651882216043657,2.7464770109812404
Cargo,343.75,-1.4783390897857718,3.937100509723528
Cargo,375.0,-2.616347919492342,3.240563079658969
Cargo,406.25,19.5648065584761,71.97148573275048
Cargo,437.5,-4.043080841612868,3.741264765480533
Cargo,468.75,-3.2094149370714313,4.837536746510066
Cargo,500.0,-3.1822429368189966,4.374342064168488
Cargo,531.25,-2.194604738597673,4.095390337916701
Cargo,562.5,-1.8712949690098863,3.978591673950603
Cargo,593.75,-2.369354290258399,3.9649670240822315
Cargo,625.0,-3.1308242798108523,4.601197453343699
Cargo,656.25,-3.591001453888174,5.797715091922404
Cargo,687.5,-4.233933389423117,6.158754000616631
Cargo,718.75,-4.632342719610473,5.877982424553946
Cargo,750.0,-4.591866710218106,6.563490946033862
Cargo,781.25,-4.410147377328444,6.335271452914206
Cargo,812.5,-3.772570074128353,6.1401339333653455
Cargo,843.75,-4.114328470179966,6.04060320464049
Cargo,875.0,-4.085698059735117,6.012723946353774
Cargo,906.25,-3.4705030315842413,6.634483321501067
Cargo,937.5,-3.617389471951823,6.712970439274723
Cargo,968.75,-3.910151028805264,6.569482658803395
Cargo,1000.0,-3.898849245971031,6.414483326879967
Cargo,1031.25,-4.045999451541491,6.36331934465428
Cargo,1062.5,-3.3980781348301266,6.406027919977263
Cargo,1093.75,-2.911408309781552,6.008994459880219
Cargo,1125.0,-3.2844015939947306,4.932181662591439
Cargo,1156.25,-3.7593702117960985,4.502177980979381
Cargo,1187.5,-4.169099930830356,4.360032984408566
Cargo,1218.75,-4.992880617512148,4.53347432595516
Cargo,1250.0,-6.543445611580286,5.144980017821861
Cargo,1281.25,-7.276269152705128,5.169715587654852
Cargo,1312.5,-5.227699232487464,4.37547798592229
Cargo,1343.75,-3.4572568491351716,3.742224389091583
Cargo,1375.0,-3.5617719842628275,3.6104147771059463
Cargo,1406.25,-4.112614710497978,3.770527574271694
Cargo,1437.5,-4.1141526331609635,3.8840549870310146
Cargo,1468.75,-1.894316340562727,4.450818186149731
Cargo,1500.0,-2.923897765035118,3.723129498085414
Cargo,1531.25,-3.6362450673773856,3.9186611783670062
Cargo,1562.5,-3.491570537124545,4.0243890411596155
Cargo,1593.75,-3.381020058955947,4.038874845731823
Cargo,1625.0,-3.582600070963669,3.8548775226611305
Cargo,1656.25,-3.4828172755896256,3.763530175619425
Cargo,1687.5,-3.1439892292974507,3.808424296839621
Cargo,1718.75,-2.2642491070592334,4.344858621158865
Cargo,1750.0,18.358294603615512,63.170484832615486
Cargo,1781.25,18.09173197202018,62.963804942890384
Cargo,1812.5,17.895539546748957,62.72658820651418
Cargo,1843.75,17.48103261697697,62.600368175333834
Cargo,1875.0,17.123276630111867,62.495877669373975
Cargo,1906.25,16.776377441448666,62.3866790271115
